Id,TotRmsAbvGrd,GrLivArea,1stFlrSF,GarageCars,GarageArea,OverallQual,YearBuilt,SalePrice
1,8,1710,856,2,548.0,Gd,2003,"208,500$"
2,6,1262,1262,2,460.0,AA,1976,"181,500$"
3,6,1786,920,2,608.0,Gd,2001,"223,500$"
4,7,1717,961,3,642.0,Gd,1915,"140,000$"
5,9,2198,1145,3,836.0,VG,2000,"250,000$"
6,5,1362,796,2,480.0,Average,1993,"143,000$"
7,7,1694,1694,2,636.0,VG,2004,"307,000$"
8,7,2090,1107,2,484.0,Gd,1973,"200,000$"
9,8,1774,1022,2,,Gd,1931,"129,900$"
10,5,1077,1077,1,205.0,Av,1939,"118,000$"
11,5,1040,1040,1,384.0,Av,1965,"129,500$"
12,11,2324,1182,3,736.0,Ex,2005,"345,000$"
13,4,912,912,1,352.0,Average,1962,"144,000$"
14,7,1494,1494,3,840.0,Gd,2006,"279,500$"
15,5,1253,1253,1,352.0,AA,1960,"157,000$"
16,5,854,854,2,576.0,Gd,1929,"132,000$"
17,5,1004,1004,2,480.0,AA,1970,"149,000$"
18,6,1296,1296,2,516.0,BA,1967,"90,000$"
19,6,1114,1114,2,576.0,Av,2004,"159,000$"
20,6,1339,1339,1,294.0,Av,1958,"139,000$"
21,9,2376,1158,3,853.0,VG,2005,"325,300$"
22,6,1108,1108,1,280.0,Gd,1930,"139,400$"
23,7,1795,1795,2,534.0,VG,2002,"230,000$"
24,6,1060,1060,2,572.0,Av,1976,"129,900$"
25,6,1060,1060,1,270.0,Av,1968,"154,000$"
26,7,1600,1600,3,890.0,VG,2007,"256,300$"
27,5,900,900,2,576.0,Av,1951,"134,800$"
28,7,1704,1704,3,772.0,VG,2007,"306,000$"
29,6,1600,1600,1,319.0,Av,1957,"207,500$"
30,4,520,520,1,240.0,BA,1927,"68,500$"
31,6,1317,649,1,250.0,BA,1920,"40,000$"
32,6,1228,1228,1,271.0,Av,1966,"149,350$"
33,7,1234,1234,2,484.0,VG,2007,"179,900$"
34,6,1700,1700,2,447.0,Av,1959,"165,500$"
35,6,1561,1561,2,556.0,Ex,2005,"277,500$"
36,9,2452,1132,3,691.0,VG,2004,"309,000$"
37,6,1097,1097,2,672.0,Av,1994,"145,000$"
38,5,1297,1297,2,498.0,Av,1954,"153,000$"
39,5,1057,1057,1,246.0,Av,1953,"109,000$"
40,6,1152,1152,0,0.0,BA,1955,"82,000$"
41,6,1324,1324,2,440.0,AA,1965,"160,000$"
42,5,1328,1328,1,308.0,Av,1959,"170,000$"
43,5,884,884,2,504.0,Av,1983,"144,000$"
44,5,938,938,1,308.0,Av,1975,"130,250$"
45,6,1150,1150,1,300.0,Av,1959,"141,000$"
46,6,1752,1752,2,576.0,Ex,2005,"319,900$"
47,6,2149,1518,2,670.0,Gd,2003,"239,686$"
48,7,1656,1656,3,826.0,VG,2006,"249,700$"
49,8,1452,736,0,0.0,BA,1920,"113,000$"
50,6,955,955,1,386.0,Av,1966,"127,000$"
51,6,1470,794,2,388.0,AA,1997,"177,000$"
52,6,1176,816,2,528.0,AA,1934,"114,500$"
53,5,816,816,2,516.0,Av,1963,"110,000$"
54,5,1842,1842,3,894.0,Ex,1981,"385,000$"
55,6,1360,1360,2,572.0,Av,1955,"130,000$"
56,7,1425,1425,2,576.0,AA,1964,"180,500$"
57,7,1739,983,2,480.0,VG,1999,"172,500$"
58,7,1720,860,2,565.0,Gd,2004,"196,500$"
59,10,2945,1426,3,641.0,VE,2006,"438,780$"
60,4,780,780,1,352.0,Av,1972,"124,900$"
61,5,1158,1158,2,576.0,AA,2004,"158,000$"
62,6,1111,581,1,288.0,Av,1920,"101,000$"
63,6,1370,1370,2,484.0,VG,2006,"202,500$"
64,9,1710,902,2,480.0,Gd,1921,"140,000$"
65,8,2034,1057,2,645.0,Gd,1997,"219,500$"
66,9,2473,1143,3,852.0,VG,2004,"317,000$"
67,7,2207,2207,2,576.0,Gd,1970,"180,000$"
68,7,1479,1479,2,558.0,Gd,2003,"226,000$"
69,4,747,747,1,220.0,BA,1945,"80,000$"
70,7,2287,1304,2,667.0,Gd,1953,"225,000$"
71,8,2223,2223,2,516.0,Gd,1973,"244,000$"
72,4,845,845,2,360.0,BA,1982,"129,500$"
73,7,1718,885,2,427.0,Gd,1998,"185,000$"
74,6,1086,1086,2,490.0,Av,1954,"144,900$"
75,8,1605,840,1,379.0,Fa,1915,"107,400$"
76,5,988,526,1,297.0,BA,1973,"91,000$"
77,4,952,952,1,283.0,BA,1956,"135,750$"
78,6,1285,1072,1,240.0,Av,1948,"127,000$"
79,8,1768,1768,0,0.0,BA,1968,"136,500$"
80,5,1230,682,2,440.0,Av,1910,"110,000$"
81,8,2142,1182,1,509.0,AA,1968,"193,500$"
82,5,1337,1337,2,405.0,AA,1998,"153,500$"
83,6,1563,1563,3,758.0,VG,2007,"245,000$"
84,6,1065,1065,2,461.0,Av,1960,"126,500$"
85,7,1474,804,2,400.0,Gd,1995,"168,500$"
86,9,2417,1301,2,462.0,VG,1991,"260,000$"
87,6,1560,684,2,400.0,AA,2005,"174,000$"
88,4,1224,612,2,528.0,AA,2009,"164,500$"
89,6,1526,1013,0,0.0,Fa,1915,"85,000$"
90,5,990,990,0,0.0,BA,1994,"123,600$"
91,4,1040,1040,2,420.0,BA,1950,"109,900$"
92,6,1235,1235,2,480.0,Av,1961,"98,600$"
93,5,964,964,2,432.0,Av,1921,"163,500$"
94,9,2291,1260,2,506.0,AA,1910,"133,900$"
95,7,1786,905,2,684.0,AA,1997,"204,750$"
96,6,1470,680,2,420.0,AA,1993,"185,000$"
97,6,1588,1588,2,472.0,Gd,1999,"214,000$"
98,6,960,960,1,432.0,BA,1965,"94,750$"
99,5,835,835,1,366.0,Av,1920,"83,000$"
100,6,1225,1225,0,0.0,BA,1959,"128,950$"
101,6,1610,1610,2,480.0,AA,1977,"205,000$"
102,7,1732,977,2,476.0,AA,1985,"178,000$"
103,8,1535,1535,2,410.0,Av,1979,"118,964$"
104,6,1226,1226,3,740.0,Gd,2009,"198,900$"
105,7,1818,1226,1,240.0,Gd,1931,"169,500$"
106,9,1992,1053,2,648.0,VG,2003,"250,000$"
107,6,1047,1047,1,273.0,BA,1885,"100,000$"
108,5,789,789,1,250.0,Av,1948,"115,000$"
109,7,1517,997,0,0.0,Av,1919,"115,000$"
110,7,1844,1844,2,546.0,AA,1977,"190,000$"
111,7,1855,1216,1,325.0,AA,1954,"136,900$"
112,7,1430,774,2,,Gd,2000,"180,000$"
113,10,2696,1282,3,792.0,Gd,2007,"383,970$"
114,7,2259,2259,2,450.0,AA,1953,"217,000$"
115,9,2320,1436,1,180.0,AA,1945,"259,500$"
116,5,1458,729,2,440.0,AA,1999,"176,000$"
117,6,1092,1092,1,288.0,Av,1962,"139,000$"
118,5,1125,1125,2,430.0,Av,2006,"155,000$"
119,11,3222,1699,3,594.0,Gd,1990,"320,000$"
120,8,1456,728,2,390.0,AA,2005,"163,990$"
121,4,988,988,2,540.0,AA,1969,"180,000$"
122,4,1123,772,1,264.0,BA,1939,"100,000$"
123,5,1080,1080,1,288.0,AA,1958,"136,000$"
124,5,1199,1199,2,530.0,AA,1993,"153,900$"
125,7,1586,1586,2,435.0,AA,1979,"181,000$"
126,5,754,520,0,0.0,AA,1935,"84,500$"
127,5,958,958,2,440.0,AA,1976,"128,000$"
128,5,840,840,0,0.0,Av,1930,"87,000$"
129,6,1348,660,2,453.0,AA,1966,"155,000$"
130,6,1053,1053,2,750.0,Av,1958,"150,000$"
131,8,2157,1216,2,487.0,Gd,1966,"226,000$"
132,7,2054,1022,2,390.0,AA,2000,"244,000$"
133,7,1327,1327,2,624.0,Av,1959,"150,750$"
134,6,1296,1296,2,471.0,VG,2001,"220,000$"
135,7,1721,1721,2,440.0,Av,1968,"180,000$"
136,7,1682,1682,2,530.0,Gd,1970,"174,000$"
137,5,1214,1214,1,318.0,Av,1967,"143,000$"
138,9,1959,1959,3,766.0,Gd,1988,"171,000$"
139,7,1852,1004,3,660.0,VG,1999,"230,000$"
140,7,1764,928,2,470.0,AA,1997,"231,500$"
141,5,864,864,0,0.0,BA,1971,"115,000$"
142,7,1734,1734,2,660.0,Gd,2005,"260,000$"
143,6,1385,910,2,720.0,Av,1952,"166,000$"
144,6,1501,1501,2,577.0,Gd,1999,"204,000$"
145,10,1728,1728,2,504.0,Av,1963,"125,000$"
146,7,1709,970,2,380.0,AA,2004,"130,000$"
147,5,875,875,1,180.0,Av,1931,"105,000$"
148,8,2035,884,2,434.0,Gd,2001,"222,500$"
149,6,1080,1080,0,0.0,Gd,2004,"141,000$"
150,7,1344,896,1,240.0,Av,1936,"115,000$"
151,5,969,969,2,440.0,Av,1975,"122,000$"
152,6,1710,1710,3,866.0,VG,2007,"372,402$"
153,8,1993,1097,2,495.0,AA,1971,"190,000$"
154,4,1252,1252,2,564.0,AA,1960,"235,000$"
155,7,1200,1200,1,312.0,AA,1923,"125,000$"
156,5,1096,572,0,0.0,AA,1924,"79,000$"
157,5,1040,1040,2,625.0,Av,1950,"109,500$"
158,8,1968,774,3,680.0,VG,2009,"269,500$"
159,8,1947,991,2,678.0,Gd,2004,"254,900$"
160,9,2462,1392,2,576.0,Gd,2005,"320,000$"
161,6,1232,1232,2,516.0,AA,1984,"162,500$"
162,10,2668,1572,3,726.0,Ex,2003,"412,500$"
163,7,1541,1541,2,532.0,Gd,2005,"220,000$"
164,4,882,882,0,0.0,BA,1956,"103,200$"
165,5,1616,1149,1,216.0,AA,1926,"152,000$"
166,6,1355,808,0,0.0,Av,1940,"127,500$"
167,7,1867,1867,1,303.0,Av,1955,"190,000$"
168,8,2161,1610,3,789.0,VG,2007,"325,624$"
169,7,1720,840,2,440.0,Gd,2004,"183,500$"
170,6,1707,1707,2,511.0,VG,1981,"228,000$"
171,7,1382,854,2,660.0,Av,1941,"128,500$"
172,7,1656,1656,2,528.0,AA,1960,"215,000$"
173,5,1767,1064,2,504.0,Gd,1987,"239,000$"
174,6,1362,1362,2,504.0,AA,1961,"163,000$"
175,7,1651,1651,2,616.0,AA,1986,"184,000$"
176,7,2158,2158,2,576.0,AA,1950,"243,000$"
177,8,2060,1164,2,521.0,AA,1988,"211,000$"
178,8,1920,1252,2,451.0,Av,1958,"172,500$"
179,9,2234,2234,3,1166.0,Ex,2008,"501,837$"
180,5,968,968,2,480.0,Av,1923,"100,000$"
181,5,1525,769,2,440.0,AA,2000,"177,000$"
182,9,1802,901,1,216.0,Gd,1920,"200,100$"
183,7,1340,1340,1,252.0,Av,1957,"120,000$"
184,6,2082,1362,2,484.0,Gd,2003,"200,000$"
185,5,1252,936,2,576.0,Av,1908,"127,000$"
186,12,3608,1518,3,840.0,VE,1892,"475,000$"
187,6,1217,1217,2,497.0,Gd,1990,"173,000$"
188,8,1656,808,1,180.0,Av,1916,"135,000$"
189,6,1224,1224,2,528.0,Av,1979,"153,337$"
190,5,1593,1593,2,682.0,VG,2001,"286,000$"
191,10,2727,1549,2,440.0,VG,1932,"315,000$"
192,7,1479,725,2,484.0,Gd,1972,"184,000$"
193,6,1431,1431,2,666.0,Gd,1999,"192,000$"
194,7,1709,970,2,380.0,Gd,2004,"130,000$"
195,5,864,864,1,352.0,Av,1972,"127,000$"
196,7,1456,855,2,440.0,AA,1976,"148,500$"
197,8,1726,1726,3,786.0,Gd,2007,"311,872$"
198,8,3112,1360,2,795.0,VG,1918,"235,000$"
199,8,2229,929,0,0.0,AA,1912,"104,000$"
200,7,1713,1713,3,856.0,VG,2004,"274,900$"
201,5,1121,1121,2,440.0,BA,2003,"140,000$"
202,6,1279,1279,2,473.0,AA,1977,"171,500$"
203,6,1310,865,1,398.0,AA,1924,"112,000$"
204,3,848,848,2,420.0,AA,2004,"149,000$"
205,5,1284,720,1,240.0,Av,1947,"110,000$"
206,5,1442,1442,2,500.0,Gd,1990,"180,500$"
207,8,1696,1696,1,349.0,Av,1962,"143,900$"
208,6,1100,1100,1,312.0,BA,1960,"141,000$"
209,7,2062,1180,2,454.0,Gd,1988,"277,000$"
210,6,1092,1092,2,504.0,AA,1964,"145,000$"
211,5,864,864,0,0.0,Av,1925,"98,000$"
212,6,1212,1212,2,460.0,AA,2009,"186,000$"
213,7,1852,932,2,644.0,Gd,2009,"252,678$"
214,5,990,990,2,576.0,Av,1995,"156,000$"
215,6,1392,689,1,299.0,AA,1977,"161,750$"
216,6,1236,1236,1,447.0,Av,1957,"134,450$"
217,8,1436,1436,2,484.0,Gd,2004,"210,000$"
218,8,1328,810,1,210.0,BA,1925,"107,000$"
219,8,1954,1137,2,431.0,Gd,1939,"311,500$"
220,5,1248,1248,2,438.0,Gd,2005,"167,240$"
221,5,1498,1498,2,675.0,Gd,2006,"204,900$"
222,8,2267,1010,2,390.0,AA,2002,"200,000$"
223,6,1552,811,2,434.0,AA,1975,"179,900$"
224,4,864,864,2,576.0,BA,1971,"97,000$"
225,8,2392,2392,3,968.0,VE,2003,"386,250$"
226,6,1302,630,1,280.0,Av,1971,"112,000$"
227,9,2520,1214,3,721.0,Gd,1995,"290,000$"
228,5,987,483,1,280.0,AA,1970,"106,000$"
229,5,912,912,1,336.0,Av,1967,"125,000$"
230,7,1555,1555,2,430.0,Gd,2005,"192,500$"
231,6,1194,1194,1,312.0,AA,1959,"148,000$"
232,9,2794,1490,3,810.0,VG,1995,"403,000$"
233,5,987,483,1,288.0,AA,1972,"94,500$"
234,5,894,894,1,308.0,Av,1976,"128,200$"
235,8,1960,860,2,440.0,AA,2002,"216,500$"
236,5,987,483,1,264.0,AA,1971,"89,500$"
237,6,1414,1414,2,494.0,Gd,2004,"185,500$"
238,7,1744,1014,2,457.0,Gd,1993,"194,500$"
239,7,1694,1694,3,818.0,VG,2007,"318,000$"
240,7,1487,798,1,220.0,AA,1945,"113,000$"
241,7,1566,1566,2,750.0,VG,2008,"262,500$"
242,4,866,866,0,0.0,Av,1945,"110,500$"
243,6,1440,889,1,352.0,Av,1900,"79,000$"
244,6,1217,626,1,288.0,AA,1980,"120,000$"
245,8,2110,1222,2,463.0,Gd,1994,"205,000$"
246,6,1872,1872,2,604.0,Gd,1988,"241,500$"
247,9,1928,908,1,440.0,AA,1910,"137,000$"
248,5,1375,1375,2,451.0,AA,1954,"140,000$"
249,8,1668,840,2,500.0,Gd,2003,"180,000$"
250,7,2144,1444,2,389.0,AA,1958,"277,000$"
251,6,1306,1306,0,0.0,Fa,1940,"76,500$"
252,5,1625,1625,2,538.0,VG,2006,"235,000$"
253,6,1640,798,2,520.0,AA,2004,"173,000$"
254,7,1302,1302,1,309.0,AA,1964,"158,000$"
255,5,1314,1314,1,294.0,Av,1957,"145,000$"
256,8,2291,1005,2,429.0,Gd,1999,"230,000$"
257,7,1728,864,2,673.0,AA,2003,"207,500$"
258,8,1604,1604,2,660.0,Gd,2006,"220,000$"
259,7,1792,963,2,564.0,Gd,2001,"231,500$"
260,4,882,882,1,308.0,Av,1956,"97,000$"
261,6,1382,1382,2,884.0,AA,1962,"176,000$"
262,10,2574,1482,3,868.0,VG,2007,"276,000$"
263,6,1212,1212,2,492.0,AA,1977,"151,000$"
264,6,1316,926,2,484.0,Av,1929,"130,000$"
265,4,764,764,2,504.0,Av,1925,"73,000$"
266,7,1422,1422,2,576.0,AA,1981,"175,500$"
267,8,1511,802,2,413.0,AA,1997,"185,000$"
268,8,2192,1052,1,240.0,Av,1939,"179,500$"
269,4,778,778,1,924.0,Av,1940,"120,500$"
270,6,1113,1113,1,504.0,AA,1976,"148,000$"
271,8,1939,1095,3,1053.0,VG,2006,"266,000$"
272,5,1363,1363,2,439.0,Gd,1954,"241,500$"
273,9,2270,1164,3,671.0,VG,1999,"290,000$"
274,6,1632,1632,1,338.0,AA,1958,"139,000$"
275,5,816,816,1,264.0,Av,1982,"124,500$"
276,5,1548,952,2,672.0,Gd,1925,"205,000$"
277,7,1560,1560,2,573.0,Gd,2003,"201,000$"
278,4,864,864,2,400.0,BA,1951,"141,000$"
279,8,2121,2121,3,732.0,Ex,2006,"415,298$"
280,8,2022,1156,2,505.0,Gd,1977,"192,000$"
281,7,1982,1175,2,575.0,Gd,1989,"228,500$"
282,5,1262,1262,2,572.0,AA,2006,"185,000$"
283,6,1314,1314,2,626.0,Gd,2007,"207,500$"
284,6,1468,1468,3,898.0,VG,2008,"244,600$"
285,5,1575,1575,2,529.0,AA,1992,"179,200$"
286,5,1250,625,2,528.0,Gd,2006,"164,700$"
287,7,1734,1085,2,440.0,AA,1962,"159,000$"
288,5,858,858,0,0.0,BA,1971,"88,000$"
289,5,900,900,1,280.0,Av,1967,"122,000$"
290,7,1396,698,1,384.0,AA,1915,"153,575$"
291,8,1919,1079,2,685.0,VG,2006,"233,230$"
292,9,1716,936,0,0.0,Av,1912,"135,900$"
293,8,1716,1148,1,281.0,Av,1949,"131,000$"
294,9,2263,1468,2,539.0,Gd,1977,"235,000$"
295,7,1644,1644,2,418.0,AA,1953,"167,000$"
296,6,1003,1003,2,588.0,AA,1984,"142,500$"
297,6,1558,910,1,282.0,Av,1950,"152,000$"
298,7,1950,975,2,576.0,Gd,1997,"239,000$"
299,7,1743,1041,2,539.0,AA,1968,"175,000$"
300,6,1152,1152,1,300.0,AA,1950,"158,500$"
301,5,1336,1336,1,375.0,Av,1953,"157,000$"
302,9,2452,1210,2,683.0,VG,1998,"267,000$"
303,6,1541,1541,3,843.0,Gd,2001,"205,000$"
304,5,894,894,2,552.0,Av,1972,"149,900$"
305,10,3493,1675,3,870.0,Gd,1880,"295,000$"
306,8,2000,2000,3,888.0,VG,2004,"305,900$"
307,8,2243,1122,3,746.0,Gd,1990,"225,000$"
308,6,1406,1035,0,0.0,AA,1920,"89,500$"
309,4,861,861,2,539.0,BA,1940,"82,500$"
310,8,1944,1944,3,708.0,Ex,2003,"360,000$"
311,6,1501,697,2,420.0,AA,1993,"165,600$"
312,5,972,972,1,240.0,AA,1948,"132,000$"
313,5,1118,793,2,410.0,Av,1939,"119,900$"
314,8,2036,2036,2,513.0,Gd,1965,"375,000$"
315,6,1641,832,2,546.0,Gd,1925,"178,000$"
316,6,1432,716,2,432.0,Gd,2004,"188,500$"
317,10,2353,1153,2,484.0,Gd,1980,"260,000$"
318,8,1959,1088,3,1025.0,VG,2006,"270,000$"
319,9,2646,1372,3,656.0,Gd,1993,"260,000$"
320,6,1472,1472,2,588.0,Gd,1980,"187,500$"
321,9,2596,1249,3,840.0,Ex,2006,"342,643$"
322,10,2468,1136,3,872.0,VG,2004,"354,000$"
323,8,2730,1553,2,576.0,Gd,1986,"301,000$"
324,6,1163,1163,1,220.0,Fa,1955,"126,175$"
325,11,2978,1898,2,564.0,Gd,1967,"242,000$"
326,5,803,803,2,360.0,Av,1941,"87,000$"
327,6,1719,1719,2,473.0,VG,1993,"324,000$"
328,7,1383,1383,1,292.0,AA,1960,"145,250$"
329,10,2134,1445,2,441.0,AA,1916,"214,500$"
330,6,1192,596,1,189.0,Av,1920,"78,000$"
331,10,1728,1728,1,352.0,Av,1964,"119,000$"
332,6,1056,1056,1,308.0,Av,1958,"139,000$"
333,7,1629,1629,3,880.0,VG,2003,"284,000$"
334,6,1358,1358,2,484.0,Gd,2004,"207,000$"
335,7,1638,943,2,472.0,AA,1998,"192,000$"
336,7,1786,1619,2,529.0,Av,1965,"228,950$"
337,8,1922,1922,3,676.0,Ex,2005,"377,426$"
338,7,1536,1536,2,532.0,Gd,2002,"214,000$"
339,8,1621,1621,2,440.0,Gd,1984,"202,500$"
340,6,1215,1215,1,297.0,AA,1958,"155,000$"
341,9,1908,993,2,431.0,VG,2002,"202,900$"
342,4,841,841,1,294.0,BA,1950,"82,000$"
343,6,1040,1040,2,400.0,Fa,1949,"87,500$"
344,6,1684,1684,2,564.0,Ex,2005,"266,000$"
345,4,1112,536,1,336.0,Av,1976,"85,000$"
346,6,1577,972,1,312.0,AA,1939,"140,200$"
347,5,958,958,1,301.0,AA,1960,"151,500$"
348,6,1478,1478,2,498.0,AA,1960,"157,500$"
349,6,1626,764,2,474.0,Gd,2003,"154,000$"
350,10,2728,1848,3,706.0,Ex,2005,"437,154$"
351,6,1869,1869,2,617.0,Ex,2007,"318,061$"
352,6,1453,1453,2,445.0,Gd,1986,"190,000$"
353,5,1111,616,1,200.0,Av,1941,"95,000$"
354,5,720,720,2,484.0,AA,1928,"105,900$"
355,6,1595,1192,1,240.0,AA,1940,"140,000$"
356,6,1200,1200,2,521.0,AA,1995,"177,500$"
357,6,1167,1167,2,400.0,AA,1992,"173,000$"
358,6,1142,1142,2,528.0,Av,1976,"134,000$"
359,6,1352,1352,1,288.0,Av,1958,"130,000$"
360,7,1924,1086,2,592.0,VG,1998,"280,000$"
361,5,912,912,2,470.0,AA,1978,"156,000$"
362,8,1505,988,1,240.0,Av,1940,"145,000$"
363,7,1922,495,2,672.0,Gd,2003,"198,500$"
364,5,987,483,1,264.0,AA,1972,"118,000$"
365,6,1574,790,2,566.0,AA,1976,"190,000$"
366,6,1344,672,1,468.0,Av,1920,"147,000$"
367,6,1394,1394,2,514.0,AA,1963,"159,000$"
