transaction_id,hour,minute,second,product_id
1,0,1,7,6
2,0,6,0,10
3,0,10,24,8
4,0,24,17,1
5,0,25,39,10
6,0,25,29,10
7,0,27,52,1
8,0,32,57,7
9,0,32,53,3
10,0,44,59,1
11,0,45,46,5
12,0,45,22,9
13,0,46,59,2
14,0,48,59,7
15,0,50,29,9
16,0,51,20,5
17,0,51,22,10
18,0,52,58,6
19,0,53,37,6
20,0,55,28,3
21,0,55,44,6
22,0,56,54,6
23,0,57,49,6
24,0,57,54,1
25,1,2,42,4
26,1,3,32,4
27,1,5,16,1
28,1,6,9,5
29,1,9,55,6
30,1,18,48,4
31,1,26,29,7
32,1,28,35,10
33,1,28,57,3
34,1,29,56,6
35,1,32,45,3
36,1,32,39,9
37,1,36,37,10
38,1,41,52,8
39,1,45,57,9
40,1,51,42,2
41,2,2,47,8
42,2,5,12,1
43,2,8,21,9
44,2,11,13,9
45,2,12,46,8
46,2,16,50,9
47,2,27,45,5
48,2,30,30,1
49,2,31,45,2
50,2,31,13,3
51,2,32,45,6
52,2,42,43,3
53,2,43,10,6
54,2,44,34,9
55,2,47,29,5
56,2,55,23,8
57,3,1,57,5
58,3,22,47,6
59,3,24,21,4
60,3,25,42,3
61,3,47,39,3
62,3,58,36,5
63,4,13,5,2
64,4,16,37,2
65,4,37,29,2
66,5,8,26,5
67,5,55,37,1
68,6,20,11,1
69,7,32,23,1
70,7,34,33,10
71,8,5,51,1
72,8,8,25,3
73,8,57,20,8
74,9,9,51,3
75,9,43,34,8
76,9,44,56,1
77,10,7,57,3
78,10,28,49,1
79,10,38,42,9
80,11,31,46,3
81,11,48,49,6
82,12,6,41,10
83,12,42,40,8
84,12,47,53,3
85,12,51,34,5
86,12,56,27,3
87,13,3,49,5
88,13,39,21,6
89,13,42,0,1
90,13,56,15,2
91,14,9,44,2
92,14,10,0,9
93,14,11,33,6
94,14,51,56,3
95,14,54,50,4
96,15,11,23,3
97,15,28,13,4
98,15,28,46,10
99,15,37,45,9
100,16,0,54,10
101,16,1,9,5
102,16,34,5,5
103,17,6,58,3
104,17,17,22,9
105,17,19,55,4
106,17,21,34,7
107,17,26,33,7
108,17,31,41,1
109,17,32,58,7
110,17,48,35,5
111,17,58,56,9
112,17,59,51,2
113,18,5,32,3
114,18,8,46,6
115,18,13,50,2
116,18,15,11,7
117,18,16,51,3
118,18,17,40,2
119,18,21,22,9
120,18,27,1,9
121,18,30,45,4
122,19,0,23,5
123,19,18,58,8
124,19,21,22,2
125,19,28,0,3
126,19,28,8,1
127,19,29,16,1
128,19,29,23,9
129,19,36,42,3
130,19,37,30,9
131,19,37,34,4
132,19,43,28,7
133,19,51,29,8
134,20,3,29,2
135,20,4,41,7
136,20,5,59,4
137,20,10,57,7
138,20,12,34,10
139,20,14,42,8
140,20,18,28,5
141,20,20,29,1
142,20,28,7,2
143,20,29,23,6
144,20,35,5,8
145,20,42,59,3
146,20,43,20,7
147,20,55,19,3
148,20,56,42,2
149,20,58,5,10
150,20,59,39,3
151,21,4,32,3
152,21,6,57,4
153,21,7,54,9
154,21,14,20,5
155,21,15,18,6
156,21,15,44,5
157,21,22,17,9
158,21,23,54,9
159,21,24,39,9
160,21,29,30,2
161,21,36,25,4
162,21,49,58,10
163,21,51,0,8
164,21,56,53,5
165,22,0,38,3
166,22,4,16,5
167,22,16,5,9
168,22,26,33,4
169,22,27,16,5
170,22,32,19,8
171,22,33,27,3
172,22,38,3,7
173,22,43,31,10
174,22,50,6,4
175,22,54,54,1
176,22,55,21,5
177,22,56,48,7
178,22,58,34,1
179,23,0,24,7
180,23,1,33,5
181,23,6,14,10
182,23,6,46,9
183,23,8,3,9
184,23,10,25,2
185,23,15,13,3
186,23,22,24,10
187,23,24,59,6
188,23,26,14,7
189,23,28,10,1
190,23,30,18,6
191,23,36,7,4
192,23,38,45,10
193,23,42,49,5
194,23,42,50,6
195,23,44,32,4
196,23,48,19,4
197,23,50,49,3
198,23,51,41,5
199,23,54,58,5
200,23,55,14,1